127.0.0.1 - - [01/Apr/2017:21:45:55 +0800] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [01/Apr/2017:21:45:58 +0800] "GET /MaJiangManage/ HTTP/1.1" 200 3236
127.0.0.1 - - [01/Apr/2017:21:45:58 +0800] "GET /MaJiangManage/css/font-awesome.css HTTP/1.1" 200 23423
127.0.0.1 - - [01/Apr/2017:21:45:58 +0800] "GET /MaJiangManage/js/sysOperate/users.js HTTP/1.1" 200 206
127.0.0.1 - - [01/Apr/2017:21:45:58 +0800] "GET /MaJiangManage/images/logo.png HTTP/1.1" 200 15864
127.0.0.1 - - [01/Apr/2017:21:45:58 +0800] "GET /MaJiangManage/css/bootstrap.min.css HTTP/1.1" 200 117309
127.0.0.1 - - [01/Apr/2017:21:45:58 +0800] "GET /MaJiangManage/css/style.css HTTP/1.1" 200 53539
127.0.0.1 - - [01/Apr/2017:21:45:58 +0800] "GET /MaJiangManage/js/bootstrap.min.js HTTP/1.1" 200 35957
127.0.0.1 - - [01/Apr/2017:21:45:58 +0800] "GET /MaJiangManage/js/jquery.min.js HTTP/1.1" 200 95935
127.0.0.1 - - [01/Apr/2017:21:45:59 +0800] "GET /MaJiangManage/images/bg.jpg HTTP/1.1" 200 23191
127.0.0.1 - - [01/Apr/2017:21:49:29 +0800] "GET /MaJiangManage/update/update.xml HTTP/1.1" 404 949
127.0.0.1 - - [01/Apr/2017:21:50:05 +0800] "GET /MaJiangManage/update/update.xml HTTP/1.1" 404 949
127.0.0.1 - - [01/Apr/2017:21:50:21 +0800] "GET /MaJiangManage/update/update.xml HTTP/1.1" 404 949
127.0.0.1 - - [01/Apr/2017:21:50:21 +0800] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [01/Apr/2017:21:50:22 +0800] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [01/Apr/2017:21:51:22 +0800] "GET /MaJiangManage/images/update.xml HTTP/1.1" 200 1929
127.0.0.1 - - [01/Apr/2017:21:51:42 +0800] "GET /MaJiangManage/update/update.xml HTTP/1.1" 404 949
127.0.0.1 - - [01/Apr/2017:21:51:42 +0800] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [01/Apr/2017:21:52:32 +0800] "GET /MaJiangManage/update HTTP/1.1" 302 -
127.0.0.1 - - [01/Apr/2017:21:52:32 +0800] "GET /MaJiangManage/update/ HTTP/1.1" 404 949
127.0.0.1 - - [01/Apr/2017:21:52:32 +0800] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [01/Apr/2017:21:52:33 +0800] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [01/Apr/2017:21:52:35 +0800] "GET /MaJiangManage/ HTTP/1.1" 200 3236
127.0.0.1 - - [01/Apr/2017:21:52:35 +0800] "GET /MaJiangManage/css/font-awesome.css HTTP/1.1" 200 23423
127.0.0.1 - - [01/Apr/2017:21:52:35 +0800] "GET /MaJiangManage/css/style.css HTTP/1.1" 200 53539
127.0.0.1 - - [01/Apr/2017:21:52:35 +0800] "GET /MaJiangManage/css/bootstrap.min.css HTTP/1.1" 200 117309
127.0.0.1 - - [01/Apr/2017:21:52:35 +0800] "GET /MaJiangManage/js/sysOperate/users.js HTTP/1.1" 200 206
127.0.0.1 - - [01/Apr/2017:21:52:35 +0800] "GET /MaJiangManage/js/bootstrap.min.js HTTP/1.1" 200 35957
127.0.0.1 - - [01/Apr/2017:21:52:35 +0800] "GET /MaJiangManage/js/jquery.min.js HTTP/1.1" 200 95935
127.0.0.1 - - [01/Apr/2017:21:52:35 +0800] "GET /MaJiangManage/images/logo.png HTTP/1.1" 200 15864
127.0.0.1 - - [01/Apr/2017:21:52:36 +0800] "GET /favicon.ico HTTP/1.1" 404 973
